City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (Inches),Snow (Inches)
282,Prince Albert,CA,53.2,-105.77,66.2,34,75,6.93,broken clouds,0.0,0.0
283,Zhangye,CN,38.93,100.45,58.41,28,0,7.94,clear sky,0.0,0.0
284,Vila Velha,BR,-20.33,-40.29,78.8,57,20,10.29,few clouds,0.0,0.0
285,Richards Bay,ZA,-28.78,32.04,65.55,87,12,4.83,few clouds,0.0,0.0
286,Sabha,LY,27.04,14.43,88.5,21,26,4.61,scattered clouds,0.0,0.0
287,Qaqortoq,GL,60.72,-46.03,51.8,40,40,12.75,scattered clouds,0.0,0.0
288,Huaibei,CN,33.97,116.79,61.7,96,6,5.08,clear sky,0.0,0.0
289,Guangyuan,CN,32.44,105.82,59.0,82,99,1.48,overcast clouds,0.0,0.0
290,Iquitos,PE,-3.75,-73.25,80.6,83,75,4.7,broken clouds,0.0,0.0
291,Havelock,US,34.88,-76.9,79.0,88,100,8.01,light rain,0.0,0.0
292,Paamiut,GL,61.99,-49.67,37.2,83,43,12.08,scattered clouds,0.0,0.0
293,Suntar,RU,62.14,117.63,38.19,73,3,4.76,clear sky,0.0,0.0
294,Shingu,JP,33.73,135.98,63.45,88,100,2.64,light rain,0.0,0.0
295,Pingliang,CN,35.54,106.69,61.2,35,99,7.05,overcast clouds,0.0,0.0
296,Miri,MY,4.41,114.01,78.8,94,75,4.7,broken clouds,0.0,0.0
297,Coihaique,CL,-45.58,-72.07,41.0,75,20,3.36,few clouds,0.0,0.0
298,Matagami,CA,49.75,-77.63,39.2,60,90,16.11,overcast clouds,0.0,0.0
299,Vestmannaeyjar,IS,63.44,-20.27,48.2,81,40,13.87,scattered clouds,0.0,0.0
