City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Chuy,UY,2020-05-25 02:00:44,-33.7,-53.46,54.16,71,100,16.13
138,Praia Da Vitoria,PT,2020-05-25 02:00:44,38.73,-27.07,64.4,93,75,6.73
139,Atar,MR,2020-05-25 02:00:44,20.52,-13.05,88.2,12,0,11.23
140,Fortuna,US,2020-05-25 02:00:44,40.6,-124.16,61.0,77,20,13.87
141,Akdepe,TM,2020-05-25 02:00:44,42.06,59.38,73.4,43,0,6.93
142,Omboue,GA,2020-05-25 02:00:44,-1.57,9.26,77.79,90,83,8.37
143,Beloha,MG,2020-05-25 02:00:44,-25.17,45.05,64.96,87,0,6.64
144,Vila Velha,BR,2020-05-25 01:56:01,-20.33,-40.29,75.2,88,75,2.24
145,Tjaereborg,DK,2020-05-25 02:00:45,55.46,8.58,50.0,81,98,20.8
146,Nemuro,JP,2020-05-25 02:00:45,43.32,145.57,53.6,100,75,9.17
147,Guerrero Negro,MX,2020-05-25 02:00:45,27.98,-114.06,63.3,79,7,18.99
148,Pevek,RU,2020-05-25 02:00:45,69.7,170.31,30.76,95,94,4.38
149,Sao Filipe,CV,2020-05-25 02:00:45,14.9,-24.5,74.77,66,4,3.67
150,Siocon,PH,2020-05-25 02:00:45,7.71,122.14,88.68,61,100,0.6
151,Wajir,KE,2020-05-25 02:00:45,1.75,40.06,75.31,79,16,11.88
152,Georgetown,MY,2020-05-25 02:00:20,5.41,100.34,84.2,88,20,4.7
153,Sambava,MG,2020-05-25 02:00:47,-14.27,50.17,69.28,79,1,8.75
154,Severo-Kurilsk,RU,2020-05-25 02:00:47,50.68,156.12,40.28,89,100,5.79
155,Bethel,US,2020-05-25 02:00:47,41.37,-73.41,55.0,85,88,1.01
156,Karratha,AU,2020-05-25 02:00:48,-20.74,116.85,78.35,56,63,18.92
157,Olhao,PT,2020-05-25 02:00:48,37.03,-7.84,73.0,56,29,5.82
158,Mar Del Plata,AR,2020-05-25 02:00:48,-38.0,-57.56,61.0,72,58,13.87
159,Belmonte,BR,2020-05-25 02:00:48,-15.86,-38.88,77.0,88,75,3.36
160,Dudinka,RU,2020-05-25 02:00:48,69.41,86.18,32.0,72,75,17.9
161,Cidreira,BR,2020-05-25 01:59:58,-30.18,-50.21,57.9,76,84,15.05
162,Rapid Valley,US,2020-05-25 01:57:32,44.06,-103.15,55.4,66,1,24.16
163,Calamar,CO,2020-05-25 02:00:48,10.25,-74.91,80.83,87,74,3.38
164,Necochea,AR,2020-05-25 02:00:49,-38.55,-58.74,55.99,88,4,7.0
165,Leningradskiy,RU,2020-05-25 02:00:49,69.38,178.42,31.32,96,100,11.52
166,Hurghada,EG,2020-05-25 01:58:03,27.26,33.81,69.8,46,0,17.22
167,Rabaul,PG,2020-05-25 02:00:49,-4.2,152.17,84.09,73,25,5.26
168,Panaba,MX,2020-05-25 02:00:49,21.28,-88.27,77.65,80,0,7.94
169,Bakchar,RU,2020-05-25 02:00:49,57.02,82.07,57.43,91,99,7.96
170,Aquiraz,BR,2020-05-25 02:00:50,-3.9,-38.39,78.8,88,75,2.24
171,Ahipara,NZ,2020-05-25 02:00:50,-35.17,173.17,63.23,94,100,11.7
172,Rawson,AR,2020-05-25 02:00:50,-43.3,-65.1,58.57,51,88,19.77
173,Tura,IN,2020-05-25 02:00:50,25.52,90.22,76.26,93,99,11.32
174,Terney,RU,2020-05-25 01:57:50,45.05,136.61,49.19,82,87,4.03
175,Provideniya,RU,2020-05-25 02:00:50,64.38,-173.3,35.6,80,75,6.71
176,Nanortalik,GL,2020-05-25 02:00:50,60.14,-45.24,39.33,87,35,6.76
177,Fairbanks,US,2020-05-25 02:00:50,64.84,-147.72,60.8,67,90,1.32
178,Sultanpur,IN,2020-05-25 02:00:51,26.27,82.07,97.7,12,6,7.45
179,Codrington,AU,2020-05-25 02:00:51,-38.27,141.97,54.95,68,0,7.56
180,Souillac,MU,2020-05-25 02:00:51,-20.52,57.52,66.2,93,75,5.82
181,Talnakh,RU,2020-05-25 02:00:51,69.49,88.4,32.0,91,75,17.9
182,La Union,PE,2020-05-25 02:00:51,-5.4,-80.75,72.88,68,67,11.65
183,Hasaki,JP,2020-05-25 02:00:51,35.73,140.83,75.99,64,75,1.12
184,Tateyama,JP,2020-05-25 02:00:51,34.98,139.87,77.0,64,75,11.41
185,Mangaratiba,BR,2020-05-25 02:00:52,-22.96,-44.04,66.2,93,90,4.7
186,Hannoversch Munden,DE,2020-05-25 02:00:52,51.42,9.65,52.0,93,40,3.36
187,Hualmay,PE,2020-05-25 02:00:52,-11.1,-77.61,64.63,83,82,5.08
188,Kiruna,SE,2020-05-25 02:00:52,67.86,20.23,39.2,96,46,3.36
189,Shelburne,CA,2020-05-25 02:00:03,44.08,-80.2,68.0,100,90,7.02
190,Tautira,PF,2020-05-25 02:00:53,-17.73,-149.15,86.0,66,75,17.22
191,Beboto,TD,2020-05-25 02:00:53,8.27,16.94,73.6,88,100,8.7
192,Caraguatay,AR,2020-05-25 02:00:53,-26.61,-54.78,47.34,95,2,1.41
193,Burg,DE,2020-05-25 02:00:53,51.83,14.15,50.0,91,12,3.0
194,Niquero,CU,2020-05-25 02:01:02,20.04,-77.58,79.77,83,3,7.78
195,Xudat,AZ,2020-05-25 02:01:02,41.63,48.68,56.46,56,12,8.05
196,Whitehorse,CA,2020-05-25 01:57:42,60.72,-135.05,60.8,31,75,18.34
197,Dingle,PH,2020-05-25 02:01:03,11.0,122.67,90.0,58,77,5.64
